Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
SingularityNET AGIX,0.4128,494991899,379816797,-10.72,114.19,366.51,1.85891,-78.0
GateToken GT,4.2365,458664798,1400888,-4.33,-7.5,27.22,13.2873,-68.0
Loopring LRC,0.33415,444462237,181191682,-10.78,-18.07,46.02,3.77569,-91.0
Enjin Coin ENJ,0.44183,441830325,61452250,-12.48,-4.26,47.97,4.83883,-91.0
Zilliqa ZIL,0.02701,428660680,77402692,-11.93,-5.38,16.81,0.26024,-90.0
Convex Finance CVX,5.72477,425771129,18356566,-10.21,-15.12,65.42,60.5055,-91.0
Fei USD FEI,0.9965,423508570,630428,1.45,-0.04,2.41,1.0462,-3.0
Casper CSPR,0.03941,423213370,14170497,-8.63,9.07,31.7,0.24006,-84.0
1inch 1INCH,0.52832,418559586,76149560,-6.64,-2.51,21.68,8.38468,-94.0
Nexo NEXO,0.72615,406642486,7413931,-2.92,-9.88,-0.77,4.07458,-82.0
Basic Attention Token BAT,0.26619,397910385,48795687,-12.67,-0.54,31.93,1.91328,-86.0
dYdX DYDX,2.54128,397090367,299226864,-13.73,-21.8,84.72,14.8252,-83.0
EthereumPoW ETHW,3.67226,395939269,32462292,-13.23,-22.59,24.17,66.5061,-94.0
Stacks STX,0.2838,385899826,22761517,-8.9,-3.5,20.49,3.24787,-91.0
Terra LUNA,1.76995,377688074,97578025,-13.71,-14.71,-1.97,104.039,-100.0
XinFin XDC,0.02637,364331063,2451776,-1.6,-9.83,0.66,0.19451,-87.0
Oasis Network ROSE,0.06355,363860016,127797266,-10.71,15.4,55.93,0.59834,-89.0
Compound COMP,49.2844,358157248,51492945,-11.82,-6.84,1.87,127.759,-100.0
Decred DCR,24.1208,355132160,9737063,1.51,4.55,21.09,250.901,-90.0
Kava KAVA,0.98897,400439578,56902798,-4.82,-3.45,35.2,9.17019,-89.0
Celo CELO,0.81018,394919481,31780164,-1.96,4.79,47.85,10.0216,-92.0
Ravencoin RVN,0.03238,393678014,33909939,2.12,7.55,55.43,0.28489,-89.0
WOO Network WOO,0.2377,389911407,75763829,-10.11,19.81,43.04,1.77363,-87.0
Holo HOT,0.0022,382161614,19977901,-0.41,-1.1,40.32,0.03109,-93.0
Arweave AR,11.4359,381899258,62673797,-7.83,-8.58,53.12,97.3175,-88.0
NEM XEM,0.042,377982386,20187472,-1.28,7.25,33.35,2.09188,-98.0
XinFin XDC,0.0269,371612760,2685722,-1.67,-7.33,2.28,0.19451,-86.0
Fetch FET,0.45341,371306239,285622723,-8.34,55.69,143.92,1.18568,-62.0
BinaryX BNX,127.03,366141031,84743470,15.0,37.06,73.1,227.596,-44.0
Decred DCR,24.8079,365221801,3436310,3.27,5.55,27.43,250.901,-90.0
MAGIC MAGIC,1.73172,362220674,212553326,-6.54,-4.26,233.87,2.15292,-19.0
Threshold T,0.0416,353386720,43203190,-5.98,-17.14,127.51,1.34774,-97.0
Harmony ONE,0.02672,349580562,54814486,-3.08,5.92,119.45,0.3834,-93.0
Gala GALA,0.04992,348308678,257584547,-7.09,-11.51,30.06,0.83431,-94.0
Theta Fuel TFUEL,0.05671,341637124,16994065,-1.24,0.79,54.86,0.6845,-92.0
JasmyCoin JASMY,0.00718,334765007,125783873,-5.47,26.98,85.83,0.32453,-98.0
Balancer BAL,6.90635,325128673,12945049,-1.96,-3.75,20.46,74.9195,-91.0
Qtum QTUM,3.09135,323135426,99529525,6.05,10.88,48.69,106.876,-97.0
ssv.network SSV,32.012,320119794,67796197,12.38,24.32,148.04,36.1195,-12.0
Ocean Protocol OCEAN,0.51763,317357161,158815668,2.94,38.27,135.8,1.94072,-73.0
SushiSwap SUSHI,1.42579,316892751,74586665,-2.9,2.01,31.9,23.3559,-94.0
Kusama KSM,37.1225,314430875,30861284,1.78,-0.61,38.14,621.755,-94.0
Gnosis GNO,119.634,309803893,4390353,-1.31,-0.85,30.52,656.602,-82.0
Ankr ANKR,0.03196,308836663,211077816,3.68,13.27,66.08,0.22066,-85.0
Ethereum Name Service ENS,15.1559,306828780,54709075,-4.48,-10.07,26.83,60.5282,-75.0
Bitcoin Gold BTG,17.4586,305768628,10065836,1.28,1.73,24.71,539.72,-97.0
Astar ASTR,0.07445,302874284,193695642,16.64,22.3,83.78,0.09602,-23.0
IoTeX IOTX,0.03195,301456825,14734922,-2.87,3.22,31.64,0.29305,-89.0
STEPN GMT,0.4917,295020080,135967757,-7.89,-15.15,-1.05,0.0,-25.0
Waves WAVES,2.64562,292386529,141607375,-3.76,-0.18,69.44,43.953,-94.0
Moonbeam GLMR,0.51598,289808541,38792912,-1.09,10.09,55.44,0.55339,-7.0
Bone ShibaSwap BONE,1.72584,288857579,13040359,-3.67,16.17,82.14,3.74835,-61.0
yearn.finance YFI,7582.85,277818357,40737180,-2.98,-4.01,30.28,91384.35,-92.0
Audius AUDIO,0.28131,276796551,25756278,-7.98,-5.1,81.5,3.94627,-93.0
Livepeer LPT,10.1661,276795218,28598183,1.42,31.9,105.23,99.9529,-90.0
Mask Network MASK,4.05334,276437667,149968704,-8.28,-15.52,58.91,5.82151,-30.0
TerraUSD USTC,0.02788,273237933,33964083,-7.9,9.36,33.3,1.12191,-98.0
Injective INJ,3.69727,269921257,63842943,-5.25,-2.22,161.01,24.3327,-85.0
Chia Network XCH,41.4133,267182700,8712055,-0.42,-8.79,32.6,1648.56,-97.0
Band Protocol BAND,2.17289,266237037,49370410,-4.33,-3.33,41.56,23.1582,-91.0
Kadena KDA,1.20653,264957707,13135990,-3.56,-5.96,26.33,28.2238,-96.0
Golem GLM,0.26035,260351231,10167334,-1.42,6.6,31.77,1.25353,-79.0
JUST JST,0.02861,254726283,23636989,-1.73,3.6,33.59,0.19206,-85.0
Symbol XYM,0.04469,249503551,813349,-1.19,-5.18,32.05,0.5356,-92.0
Siacoin SC,0.00468,249388390,95548451,-4.73,40.59,84.88,0.11171,-96.0
OMG Network OMG,1.70417,239001570,62728488,3.07,13.82,45.73,28.3519,-94.0
Chain XCN,0.01113,238986192,10276690,0.23,-0.89,-4.87,0.09397,-88.0
Flux FLUX,0.86118,238159616,26738667,-7.25,-9.24,138.77,0.23598,-38.0
SwissBorg CHSB,0.23381,233807857,221703,-0.38,-2.46,2.21,1.64234,-87.0
Ontology ONT,0.2492,218115031,45595120,4.73,14.79,43.69,11.1766,-98.0
Dogelon Mars ELON,0.0,217911983,5666789,-3.78,7.29,36.75,0.0,-85.0
ICON ICX,0.22866,216437339,12043425,-0.81,2.12,40.97,12.6387,-98.0
IOStoken IOST,0.01151,215406467,20126155,1.05,14.44,44.9,0.1365,-92.0
0x ZRX,0.25322,214602509,23553953,-1.08,7.25,45.48,2.53141,-90.0
Hive HIVE,0.45129,208909985,17873797,-0.64,10.26,49.18,3.32209,-86.0
Reserve Rights RSR,0.00458,208796833,19614297,-2.21,4.68,35.39,0.12031,-96.0
Amp AMP,0.00492,207692522,8276896,-1.71,2.05,42.69,1.1554,-100.0
SafePal SFP,0.52429,193810916,13363162,-7.44,-14.61,27.76,0.95631,-45.0
BORA BORA,0.20827,193168971,19975903,-3.21,7.83,59.88,1.65231,-87.0
BICONOMY BICO,0.4014,193033426,7878370,-0.76,-4.56,30.84,5.08765,-92.0
Illuvium ILV,85.7541,187387435,43619035,-8.53,2.75,80.58,1376.73,-94.0
SKALE Network SKL,0.04457,186208772,20680241,6.29,17.32,81.23,1.23025,-96.0
WAX WAXP,0.07871,186178522,23539304,-1.83,-0.28,57.62,5.01221,-98.0
Everscale EVER,0.10363,179837915,5451993,0.54,-8.46,216.86,0.29563,-64.0
Polymath Network POLY,0.19116,176825985,586923,-1.15,1.76,17.74,1.65796,-88.0
Storj STORJ,0.42697,176313695,92408146,-8.41,4.76,50.59,3.72529,-89.0
Neutrino USD XTN,0.25827,175689963,267885,-13.11,-18.71,-26.02,12.8042,-98.0
iExec RLC RLC,2.13916,173271758,32824748,0.73,17.29,44.4,16.0603,-87.0
Solar SXP,0.31108,172413743,15964381,-2.5,2.34,36.63,5.87092,-95.0
DAO Maker DAO,1.1965,172227277,5470416,6.51,-0.22,,0.0001,-93.0
DigiByte DGB,0.01078,172216605,12808272,-3.83,-4.57,24.3,0.1812,-94.0
Keep Network KEEP,0.19714,169688289,2058759,-7.03,-18.09,137.76,1.23699,-83.0
OriginTrail TRAC,0.45826,167487177,7750176,11.7,90.97,147.66,3.23984,-86.0
Hooked Protocol HOOK,3.22939,161469604,304176464,-8.51,-5.35,,4.06636,-21.0
Synapse SYN,1.13418,158527509,7493212,-5.99,-1.1,,,
Secret SCRT,0.9517,155408235,16068054,12.63,18.46,38.52,10.6262,-91.0
ConstitutionDAO PEOPLE,0.03014,152499615,49830102,0.5,-1.37,26.12,0.18705,-84.0
Nervos Network CKB,0.00381,150795564,3883955,-2.73,-2.3,22.69,0.04404,-91.0
MetisDAO METIS,33.1651,146911618,9036138,-2.59,-14.19,67.48,322.353,-90.0
UMA UMA,2.12795,146716416,10140059,-1.93,0.08,23.98,43.7233,-95.0
Kyber Network KNC,0.88185,145411253,36264192,-3.95,4.72,57.88,6.001,-85.0
Horizen ZEN,10.8837,145286505,31607473,-5.21,-0.33,27.03,167.763,-94.0
Braintrust BTRST,1.0669,143497637,940582,-1.57,-0.62,12.98,41.3867,-97.0
Merit Circle MC,0.40422,143397401,13995923,-1.27,4.71,43.05,3.32394,-88.0
Lisk LSK,1.10749,142756185,19372475,0.31,13.51,45.29,39.31,-97.0
Celsius CEL,0.59376,141828448,3836077,-3.12,-1.48,9.97,8.03079,-93.0
Chromia CHR,0.20418,140177192,97045601,-4.91,13.85,68.35,11.6865,-98.0
Conflux Network CFX,0.06683,139724857,22057299,-1.73,-2.35,169.67,0.97212,-93.0
PlayDapp PLA,0.25742,138456226,23221573,-2.68,8.86,57.61,3.72467,-93.0
APENFT NFT,0.0,136987781,17273843,-1.78,2.92,17.04,1e-05,-93.0
Stargate Finance STG,0.88402,136313302,123160292,3.01,18.8,136.07,1.15887,-23.0
API3 API3,1.89464,135937433,27902200,1.69,8.06,49.25,2.77687,-32.0
Smooth Love Potion SLP,0.00318,135139478,22441118,-4.45,0.16,34.02,0.35387,-99.0
Voyager Token VGX,0.47874,133320834,33886694,-4.69,-19.47,26.85,12.5387,-96.0
Ribbon Finance RBN,0.24816,131953000,989395,-7.25,-5.6,37.75,4.91164,-95.0
MediBloc MED,0.01909,131892426,5219262,-3.57,6.24,42.77,0.34906,-95.0
LooksRare LOOKS,0.27812,130588917,29957928,-7.44,28.39,67.1,5.81717,-95.0
Axelar AXL,0.83095,130002918,2722277,-9.06,26.18,,0.99629,-16.0
Ontology Gas ONG,0.39179,129882862,113493896,20.85,29.44,58.46,4.40012,-91.0
HEX HEX,0.0516,8948741455,28931282,-4.22,59.94,150.77,0.51106,-90.0
Wrapped TRON WTRX,0.06511,6619637565,2351680,-0.35,2.31,,,
Lido Staked ETH stETH,1613.87,5628751179,19989674,-2.07,-2.53,23.72,4824.29,-66.0
T-mac DAO TMG,1.56688,1566883349,39527,-3.39,1.38,501.07,2.4018,-37.0
Bitcoin BEP2 BTCB,22748.57,1203693243,6291646,-1.33,-4.76,31.66,68760.9,-67.0
Wrapped BNB WBNB,321.309,1202357998,129893970,-2.71,-2.41,16.27,488.972,-34.0
Frax FRAX,0.99951,1022855428,53540679,0.15,-0.09,-0.05,1.05024,-5.0
Huobi BTC HBTC,23511.51,916231724,15934,-0.32,-1.42,31.52,68664.41,-67.0
BitTorrent BTTOLD,0.00072,713997105,199323,-1.51,-2.27,-27.18,0.01428,-78.0
TNC Coin TNC,0.11313,661938391,741280,1.17,2.87,-24.41,0.01747,-99.0
FTX Token FTT,1.78484,587024816,25314692,-13.46,-9.74,50.25,84.9007,-98.0
Radix XRD,0.04741,478753664,534025,-7.05,-20.13,,0.06033,-22.0
Tether Gold XAUT,1866.13,460045362,1499312,-0.13,-3.6,-0.42,3159.29,-41.0
Baby Doge Coin BabyDoge,0.0,383227822,27471280,-4.58,102.56,230.26,0.0,-82.0
Bitget Token BGB,0.26987,377814103,8049585,9.05,23.06,47.3,0.29593,-9.0
GensoKishi Metaverse MV,0.20327,347446585,1209909,-0.14,-12.48,21.72,0.97899,-79.0
Nexus Mutual NXM,51.5979,340239830,86199,-1.78,-2.27,,1e-05,339019.0
WEMIX WEMIX,1.27093,311941328,7825762,-7.75,35.79,254.3,24.7286,-95.0
JUST Stablecoin USDJ,1.1075,302622941,962132,-0.9,-1.87,2.35,2.13089,-48.0
DeFiChain DFI,0.58268,297597330,2787680,-2.63,-10.85,36.02,5.62766,-90.0
LINK LN,38.2284,257447289,803193,-5.6,-9.18,-3.54,316.468,-88.0
FLOKI FLOKI,3e-05,250041045,22184440,-3.59,5.94,243.36,0.00035,-92.0
Alethea Artificial Liquid Intelligence Token ALI,0.06548,234958266,5195924,-7.74,81.81,187.8,0.09881,-35.0
Liquity USD LUSD,1.00322,227411856,940575,0.27,0.03,-2.27,1.06825,-6.0
Edgecoin EDGT,1.00013,210027939,33622873,-0.03,-0.01,-0.03,1.01034,-1.0
Bitgert BRISE,0.0,194881197,3221275,-4.49,-15.89,57.35,0.0,-72.0
Telcoin TEL,0.00281,184531063,2994616,-7.93,21.12,40.17,0.06473,-96.0
Anyswap ANY,9.81052,182861498,35452,-2.59,-1.14,89.74,26.5579,-63.0
Wrapped Everscale WEVER,0.10046,174322681,172812,-0.83,-13.97,,,
LUKSO LYXe,10.8069,166489598,1384777,-1.65,17.8,19.85,41.2341,-74.0
Beldex BDX,0.03712,149214366,2622380,-0.72,-6.94,-12.05,0.49541,-93.0
Locus Chain LOCUS,0.06669,138781075,376741,-11.81,-18.26,3.06,0.20373,-66.0
VVS Finance VVS,0.0,138573889,874744,-1.95,1.01,,,
Gifto GFT,0.13817,138067098,778790801,-0.42,330.66,-32.76,1.20311,-98.0
STASIS EURO EURS,1.07794,133800096,1248915,-0.05,-1.52,0.84,1.51718,-29.0
Creditcoin CTC,0.62584,129708080,12421537,-3.72,-3.23,,,
Radio Caca RACA,0.00038,120958931,14242222,2.09,-15.39,-25.22,0.01193,-97.0
Celer Network CELR,0.01807,128004485,11767249,-4.05,-8.57,61.47,0.19557,-91.0
Pundi X [new] PUNDIX,0.49295,127423187,9465239,-1.39,4.2,35.3,1.03085,-51.0
Civic CVC,0.12619,126194816,113152957,1.27,15.48,51.73,1.66211,-92.0
Syscoin SYS,0.16744,126181639,3418223,-3.78,-1.66,51.05,1.3202,-87.0
Galxe GAL,2.27275,123336015,41933829,-8.79,-10.41,83.59,3.35464,-32.0
Numeraire NMR,20.7537,122208526,21704650,-8.19,15.6,37.28,92.909,-78.0
Energy Web Token EWT,4.04371,121562648,11826568,10.29,9.59,23.54,22.7367,-82.0
Aragon ANT,2.99098,119728322,11087895,1.73,-8.81,29.62,15.0523,-80.0
Gitcoin GTC,1.95985,117421037,17229151,-6.98,-3.89,44.33,4.38195,-100.0
Status SNT,0.02956,116665350,8247809,-2.39,-13.14,38.04,0.67595,-96.0
Request Network REQ,0.11665,116633487,7225883,-0.61,6.64,26.58,1.18403,-90.0
Kaspa KAS,0.00702,116025691,2755483,-3.77,20.06,51.93,0.00974,-27.0
aelf ELF,0.20928,115914656,12982887,0.93,12.6,19.21,2.76568,-92.0
COTI COTI,0.09824,115561955,15300437,-2.12,-7.92,55.41,0.67755,-85.0
Nano XNO,0.86679,115498426,2092274,-2.25,-1.42,-35.42,37.6212,-88.0
Tribe TRIBE,0.25465,115469845,446194,-0.16,-0.25,20.04,1.35148,-81.0
Vulcan Forged PYR PYR,4.1915,113934299,15129648,-5.41,0.2,20.03,49.1565,-92.0
Polymesh POLYX,0.20168,112777651,15385118,-2.3,6.59,48.7,0.39273,-49.0
NuCypher NU,0.15919,111913230,5487738,-1.31,-10.5,69.79,2.98031,-95.0
Highstreet HIGH,3.56629,109280698,221202430,-11.7,-5.17,293.65,6.47252,-46.0
Saitama SAITAMA,0.00285,110128351,2187692,8.77,7.86,138.42,0.00338,-14.0
Cartesi CTSI,0.16665,109009516,15702730,-7.01,3.38,50.31,0.18057,-8.0
DeXe DEXE,2.98783,108973944,1741424,-0.69,4.46,22.79,25.7088,-88.0
Centrifuge CFG,0.29863,107586660,430511,1.62,4.28,83.87,2.34364,-87.0
Verasity VRA,0.01044,108025088,73530114,-3.72,60.68,289.26,0.08608,-88.0
MobileCoin MOB,1.4091,104580690,2547051,-5.07,-5.09,,1.60913,-12.0
Venus USDC vUSDC,0.02186,104311576,2520,0.01,0.08,,,
Ardor ARDR,0.10298,102872921,8145299,4.46,12.31,46.11,2.55371,-96.0
Alpha Finance Lab ALPHA,0.13614,102102897,6573489,-1.71,-1.13,-28.17,0.0264,-76.0
Humanscape HUM,0.1113,101660010,7130580,-0.64,8.66,43.3,1.40763,-92.0
Radicle RAD,2.08179,101651805,12754578,0.81,0.25,30.87,25.3859,-92.0
Dent DENT,0.00102,101115995,9663529,-1.64,2.51,41.88,0.1114,-99.0
Orbs ORBS,0.03494,100527612,6203553,-3.34,15.81,49.25,0.34975,-90.0
Mass Vehicle Ledger MVL,0.00445,100298831,7534041,-1.58,11.05,,0.0656,-95.0
dKargo DKA,0.04042,99612341,6482941,-3.25,7.77,37.37,0.26802,-85.0
Hashflow HFT,0.53994,100014589,66857103,-5.14,4.67,10.39,6e-05,-82.0
Steem STEEM,0.23195,98930695,27689264,2.31,15.32,44.41,8.57442,-97.0
AVINOC AVINOC,0.25412,98914150,457389,-0.23,2.33,,,
CEEK VR CEEK,0.12263,98805730,9939025,-5.08,-8.97,43.31,0.48348,-75.0
Ergo ERG,1.67809,98400372,930066,-3.17,-6.39,-5.08,23.3498,-93.0
USDX [Kava] USDX,0.88142,98337702,230323,-0.27,-0.13,,,
MOBOX MBOX,0.56145,97958162,12066923,-4.45,-5.88,31.14,15.1272,-96.0
Morpheus Network MNW,2.07282,97795726,1177079,-8.96,12.83,,0.9598,-54.0
Powerledger POWR,0.1996,95951262,15832199,-2.58,10.25,45.99,2.01117,-90.0
MX Token MX,0.95061,95061170,2020246,-3.62,-0.02,8.06,3.71394,-74.0
Serum SRM,0.35757,94129467,16560558,-5.11,-5.55,97.74,13.5446,-97.0
Prom PROM,5.1124,93301216,6495134,-1.21,4.4,25.01,113.729,-96.0
Bifrost BFC,0.08577,93361677,10283291,10.17,14.62,240.47,0.14479,-85.0
WINk WIN,0.0001,93230338,16020055,-3.33,3.4,25.37,0.00293,-97.0
Mango Markets MNGO,0.16039,160394068,575923,-0.43,-17.65,,0.50958,-41.0
Acala Token ACA,0.14916,91442298,10240175,7.07,8.42,-1.59,0.20653,-100.0
Augur REP,8.22044,90424832,76712190,6.07,36.04,66.07,123.241,-93.0
Ren REN,0.09115,91064546,23823473,-8.67,2.46,37.93,1.8255,-95.0
JOE JOE,0.26663,89175291,10557781,-4.29,12.02,76.81,5.05117,-95.0
IQ IQ,0.00712,89168349,97740024,5.49,7.59,-15.43,0.07652,-94.0
Spell Token SPELL,0.00083,89003807,11863263,-2.06,-1.45,39.85,3527.36,-100.0
NKN NKN,0.11762,88786949,8085970,-1.13,6.32,29.82,1.47274,-92.0
Stratis STRAX,0.61877,90302778,16608355,4.45,5.35,36.48,22.6555,-97.0
Marlin POND,0.01084,87681381,6632651,-3.32,1.95,,0.01192,-9.0
Standard Tokenization Protocol STPT,0.04746,87549106,32860038,5.2,9.45,56.56,0.2832,-83.0
Mdex MDX,0.09228,87218276,5305725,-2.94,1.51,19.9,2.20261,-96.0
Ultra UOS,0.2861,86915913,1366538,-4.82,7.19,48.27,2.48241,-88.0
LCX LCX,0.1121,86495602,1312103,-2.6,-12.57,113.89,0.41978,-73.0
Volt Inu V2 VOLT,0.0,86177640,16694720,-6.27,109.26,,0.01329,-99.0
Centrality CENNZ,0.1236,148319335,2736513,5.58,8.27,-7.38,7.1814,-98.0
XYO XYO,0.00672,86303460,1679184,-5.75,4.24,28.56,0.08087,-92.0
renBTC RENBTC,23944.89,85715499,35560,-1.46,-4.08,26.69,68677.17,-65.0
Venus XVS,5.86181,85721153,5129339,-0.64,6.03,37.24,373.524,-98.0
Phala.Network PHA,0.18715,84858602,15204753,-2.63,13.29,51.48,1.22348,-85.0
